Company,City,Zip Code,LWIB Area,Notice Date
Ahern Rentals Inc.  ,Phoenix  ,85006  ,5  ,03/28/2020 
Alsco  ,Yuma  ,85365  ,9  ,04/07/2020 
Amentum  ,Yuma  ,85364  ,9  ,03/13/2020 
Ares Collective Restaurants  ,Tucson  ,85715  ,6  ,03/23/2020 
Arizona Grand Resort  ,Phoenix  ,85044  ,5  ,05/04/2020 
Arizona Nutritional Supplements  ,Chandler  ,85226  ,7  ,05/06/2020 
Arizona Oncology Associates (ASUI)  ,Tucson  ,85718  ,7  ,04/06/2020 
Aspire (CPES)  ,Tempe  ,85282  ,7  ,05/18/2020 
Atrium Hospitality  ,Glendale  ,85305  ,7  ,03/26/2020 
Avis Budget  ,Phoenix  ,85034  ,5  ,04/08/2020 
AmSafe  ,Phoenix  ,85043  ,5  ,05/12/2020 
Andaz Scottsdale Resort & Bungalows (Hyatt)  ,Scottsdale  ,85253  ,7  ,06/15/2020 
Aecom  ,Glendale  ,85310  ,7  ,01/17/2020 
Benihana Ahwatukee  ,Phoenix  ,85044  ,7  ,04/05/2020 
Benihana Chandler  ,Chandler  ,85226  ,7  ,04/05/2020 
Benihana Mid town  ,Scottsdale  ,85251  ,7  ,04/05/2020 
Benihana Scottsdale  ,Scottsdale  ,85254  ,7  ,04/05/2020 
Best Western Hotels & Resorts  ,Phoenix  ,85016  ,5  ,03/25/2020 
Black Bear Diner  ,Laveen  ,85339  ,7  ,04/09/2020 
Bright (MHS)  ,Phoenix  ,85040  ,5  ,05/01/2020 
Buck Stop  ,Wilcox  ,86004  ,1  ,05/18/2020 
Camby Hotel  ,Phoenix  ,85021  ,5  ,05/07/2020 
Camelback Inn Resort & Spa (JW Marriott)  ,Scottsdale  ,85253  ,7  ,06/03/2020 
Bella Fresh  ,Phoenix  ,85043  ,5  ,02/05/2020 
"Cameron Mitchell Restaurants, LLC  ",Columbus  ,85054  ,5  ,03/24/2020 
Cedar Lane  ,Payson  ,85650  ,2  ,05/18/2020 
Cinemark  ,Tucson  ,85713  ,6  ,04/01/2020 
civana  ,Carefree  ,85377  ,7  ,04/03/2020 
civana  ,Carefree  ,85377  ,7  ,04/03/2020 
CMA CGM (America) LLC  ,Scottsdale  ,85254  ,7  ,01/03/2020 
Coach-Net Services Group  ,Lake Havasu City  ,86403  ,11  ,07/27/2010 
Cocopah Bend RV Resort and Golf  ,Yuma  ,85364  ,9  ,04/07/2020 
Cocopah Casino and Resort  ,Somerton  ,85350  ,9  ,04/07/2020 
COX Automotive  ,Phoenix  ,85040  ,5  ,05/08/2020 
Cocopah indian Tribe  ,Somerton  ,85350  ,9  ,04/07/2020 
Concepts Crew (CPES)  ,Tucson  ,85750  ,6  ,05/18/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,2003  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Doubletree Suites by Hilton Phoenix  ,Phoenix  ,85008  ,5  ,04/15/2020 
Drive Time  ,Phoenix  ,85040  ,5  ,03/27/2020 
Drive Time  ,Phoenix  ,85040  ,5  ,03/27/2020 
Dyncorp  ,Tucson  ,85704  ,6  ,01/15/2020 
Embassy Suites by Hilton Scottsdale Resort  ,Scottsdale  ,85250  ,7  ,04/30/2020 
Embassy Suites Tempe  ,Tempe  ,85282  ,5  ,03/18/2020 
Estrellita Child Care center  ,San Luis  ,85336  ,9  ,04/07/2020 
Evolution Hospitality  ,sedona  ,85325  ,10  ,04/03/2020 
Fairmont Scottsdale Princess  ,Scottsdale  ,85255  ,7  ,06/08/2020 
FEAST American Diners  ,Phoenix  ,85010  ,7  ,03/23/2020 
Flagstaff DoubleTree  ,Flagstaff  ,86001  ,10  ,04/02/2020 
"Flying Food Group, LLC  ",Phoenix  ,85003  ,5  ,04/10/2020 
Dragoon  ,Wilcox  ,85600  ,1  ,05/18/2020 
FosterCare NAZ  ,Phoenix  ,85009  ,7  ,05/18/2020 
Four Seasons Resort  ,Scottsdale  ,85262  ,7  ,03/20/2020 
Fruit Growers Supply  ,Yuma  ,85365  ,9  ,05/29/2020 
GBT US LLC  ,Scottsdale  ,85254  ,7  ,04/13/2020 
Go Rentals  ,Newport  ,92660  ,7  ,03/23/2020 
Great Wolf Lodge  ,Scottsdale  ,85258  ,7  ,03/30/2020 
"Guess?, Inc  ",Glendale  ,85305  ,7  ,04/13/2020 
Hertz  ,Phoenix  ,85034  ,7  ,04/29/2020 
Hexcel  ,Casa Grande  ,85122  ,2003  ,04/20/2020 
Hilton El Conquistador  ,Tucson  ,85704  ,6  ,04/03/2020 
HMS Host (Sky Harbor International Airport)  ,Phoenix  ,85034  ,5  ,03/31/2020 
Holiday Inn Hotels  ,Yuma  ,85364  ,9  ,03/31/2020 
HotChalk  ,Phoenix  ,85034  ,5  ,02/25/2020 
Huhtamaki  ,Googyear  ,85338  ,7  ,04/16/2020 
Hyatt Regency Scottsdale Resort & Spa at Gainey Ra  ,Scottsdale  ,85258  ,7  ,06/12/2020 
"IHG-Army Hotels, candlewood Suites  ",Yuma Proving grounds  ,85365  ,9  ,4/7/2020
International Cruise & Excursion Gallery  ,Scottsdale  ,85256  ,7  ,03/24/2020 
Islands Restaurants  ,Phoenix  ,85050  ,7  ,03/23/2020 
James River Insurance Company  ,Scottsdale  ,85254  ,7  ,05/15/2020 
Katerra  ,Scottsdale  ,85258  ,7  ,04/02/2020 
KDC Construction  ,Irvine  ,92606  ,7  ,03/20/2020 
King's Seafood Company LLC  ,Tempe  ,85281  ,7  ,03/24/2020 
L'Auberge de Sedona  ,Sedona  ,85600  ,10  ,04/03/2020 
Loews Ventana Canyon Resort  ,Tucson  ,85750  ,6  ,05/29/2020 
Loews Ventana Canyon Resort  ,Tucson  ,85750  ,6  ,05/29/2020 
Loving Hearts Foster Care (CPES)  ,Tucson  ,85750  ,6  ,05/18/2020 
Loving hearts Thrift Store  ,Tempe  ,85282  ,7  ,05/18/2020 
Lucille’s Smokehouse Bar-B-Que  ,Tempe  ,85282  ,7  ,04/20/2020 
"Macy's Credit and Customer Services, Inc.  ",Tempe  ,85281  ,7  ,01/06/2020 
MAPFRE Insurance - Enterprise Contact Center  ,Gilbert  ,85234  ,7  ,01/13/2020 
Massage Envy  ,Scottsdale  ,85260  ,7  ,04/15/2020 
McCormick Scottsdale  ,Scottsdale  ,85253  ,7  ,03/30/2020 
Medieval Times Dinner & Tournament  ,Scottsdale  ,85258  ,7  ,04/08/2020 
Mind Body  ,Scottsdale  ,85257  ,7  ,4/7/2020
Mindbody  ,Scottsdale  ,85257  ,7  ,04/03/2020 
Movement for Life Inc.  ,San Obispo  ,93401  ,6  ,03/25/2020 
New 4 U (CPES)  ,Douglas  ,85850  ,1  ,05/18/2020 
