Company,City,Zip Code,LWIB Area,Notice Date
"Ahern Rentals, Inc  ",Elwood  ,66024  ,2  ,03/28/2020 
"Airxcel, Inc - RV Products  ",Wichita  ,67219  ,4  ,04/13/2020 
Topeka Capital Plaza  ,Topeka  ,66612  ,2  ,04/29/2020 
Cinemark USA Inc.  ,Merriam  ,66202  ,3  ,03/26/2020 
Black Bear Diner  ,Olathe  ,66062  ,3  ,04/09/2020 
DB Schenker Inc  ,Wichita  ,67210  ,4  ,05/12/2020 
Detroit Diesel Remanufacturing  ,Emporia  ,66801  ,5  ,02/18/2020 
Detroit Diesel Remanufacturing LLC  ,Emporia  ,66801  ,5  ,03/30/2020 
Enterprise Holdings  ,Merriam  ,66203  ,3  ,04/29/2020 
Enterprise Holdings  ,Wichita  ,67209  ,4  ,05/05/2020 
Exide Technologies  ,Kansas City  ,66115  ,3  ,05/21/2020 
Exide Technoloies  ,Salina  ,67401  ,1  ,05/22/2020 
Greater Wichita YMCA  ,Wichita  ,67202  ,4  ,03/20/2020 
Hollywood Casino  ,Kansas City  ,66111  ,3  ,06/12/2020 
JC Penney  ,Lenexa  ,66219  ,3  ,01/16/2020 
Jim's Formal Wear  ,Salina  ,67401  ,1  ,03/31/2020 
Jones Lang LaSalle  ,Kansas City  ,66115  ,3  ,03/31/2020 
"Kansas Star Casino, Hotel and Event Center  ",Mulvane  ,67110  ,4  ,05/22/2020 
"Kauffman Engineering, Inc.  ",Junction City  ,66441  ,2  ,04/27/2020 
"Leonard's Metal, Inc. dba LMI Aerospace  ",Fredonia  ,66736  ,5  ,04/10/2020 
"Leonard's Metal, Inc., dba LMI Aerospace  ",Cottonwood Falls  ,66845  ,5  ,04/10/2020 
Marriott International Customer Engagement Center  ,Wichita  ,67218  ,4  ,06/11/2020 
"Mid-Kansas Investment, Inc  ",Hutchison  ,67502  ,1  ,03/23/2020 
"Midwest Automotive, Inc. dba Midwest Kia  ",Wichita  ,67209  ,4  ,03/24/2020 
Midwest KIA  ,Wichita  ,67209  ,4  ,03/24/2020 
Paper Source  ,Leawood  ,66209  ,3  ,03/27/2020 
"Pinnacle Heathcare System, Inc.  ",Overland Park  ,66213  ,3  ,04/10/2020 
RA Sushi  ,Leawood  ,66211  ,3  ,04/02/2020 
Regal Cinemas  ,Wichita  ,67206  ,4  ,04/29/2020 
Regal Cinemas  ,Wichita  ,67205  ,4  ,04/29/2020 
Rusty Eck Ford  ,Wichita  ,67207  ,4  ,03/24/2020 
"Rusty Eck Ford, Inc.  ",Wichita  ,67207  ,4  ,03/24/2020 
"Schenker, Inc.  ",Wichita  ,67210  ,4  ,01/21/2020 
Sheraton Overland Park Hotel  ,Overland Park  ,66211  ,3  ,06/01/2020 
"Spirit AeroSystems, Inc  ",Wichita  ,67210  ,4  ,05/01/2020 
"Spirit AeroSystems, Inc.  ",Wichita  ,67210  ,4  ,01/10/2020 
Sumner Community Hospital  ,Wellington  ,66048  ,4  ,03/12/2020 
T-Mobile  ,Overland Park  ,66251  ,3  ,06/17/2020 
the Marriott Kansas City  ,Overland Park  ,66210  ,3  ,03/27/2020 
Transform LM LLC  ,Lawrence  ,66044  ,2  ,01/30/2020 
Visionworks  ,San Antonio  ,78205  ,3  ,04/23/2020 
Visionworks  ,San Antonio  ,78205  ,3  ,04/23/2020 
YMCA  ,Wichita  ,67212  ,4  ,03/20/2020 
