Notice Date,Company,City,Layoff Date,# Affected
2/13/2020,UPDATED:  BARNEYS,Boston,2/13/20-2/27/20,63
1/29/2020,"JetStream Ground Services, Inc. ",Boston,3/23/2020,T/B/D
2/18/2020,"Select Restaurants, Inc./Top of the Hub Restaurant",Boston,3/20/2020,170
3/2/2020,dnata US Inflight Catering LLC,Everett,5/1/2020-5/3/2020,30
3/20/2020,Clarendon Restaurant LLC (Post 390),Boston,3/23/2020,90
3/20/2020,"Highgate Hotels, L.P. (Inn at Brookline)",Brookline,3/21/2020,36
3/20/2020,"Highgate Hotels, L.P. (Boston Park Plaza Hotel)",Boston,3/21/2020,500
3/20/2020,Harvest 2000 LLC (Harvest Resaurant),Cambridge,3/23/2020,66
3/20/2020,Berkely Place Restaurant LP (Grill 23 & Bar),Boston,3/23/2020,139
3/20/2020,HM Boston LLC (Bistro Du Midi),Boston,3/23/2020,59
3/16/2020,Wagamama USA LLC - 100 Northern Ave,Boston,3/17/2020,45
3/16/2020,Wagamama USA LLC - Prudential Center,Boston,3/17/2020,63
3/16/2020,Wagamama USA LLC - Quincy Market,Boston,3/17/2020,34
3/22/2020,Embassy Suites Boston,Boston,3/25/2020,59
3/24/2020,Ocean Prime,Boston,3/16/20 - 3/31/20,150
3/24/2020,Boston Teaparty Ships & Museum,Boston,3/24/2020,57
3/24/2020,"Historic Tours of America, Inc.",Boston,3/24/2020,96
3/25/2020,Pineapple Hospitality Company,Boston,3/16/20 - 3/20/20,27
3/25/2020,The Ritz - Carlton Boston,Boston,3/14/20 - 3/28/20,244
3/26/2020,Grand Circle LLC,Boston,3/23/2020,120
3/26/2020,"Earl's Restaurants USA, Inc.",Boston & Somerville,3/24/2020,364
3/27/2020,"Avis Budget Car Rental, LLC",East Boston,3/13/20 - indefinitely,144
3/28/2020,Westin Boston Waterfront,Boston,3/17/20 - 3/24/20,435
3/28/2020,Paper Source,"Boston, Cambridge, Brookline & Burlington",3/29/2020,50
4/1/2020,Courtyard Cambridge,Cambridge,3/15/20 - 4/3/20,75
4/1/2020,Primark,"Boston, Burlington",4/1/2020,242
4/2/2020,Cirque Du Soleil,Boston,3/17/20 - 4/3/20,66
4/2/2020,bartaco,Boston,3/21/2020,93
4/3/2020,G2,Boston,3/27/2020,102
4/3/2020,InterContinental Hotel Boston,Boston,3/13/20 - 4/13/20,256
4/3/2020,Boston University,Boston,3/17/20 - 4/7/20,1633
4/6/2020,Indochino,Boston,3/25/2020,18
4/5/2020,Mersing Group Limited (Boston Hotel Buckminster and Fenmore Grill),Boston,3/20/2020,35
4/5/2020,"Park Shuttle & Fly, Inc.",East Boston,3/31/2020,34
4/6/2020,Four Seasons Hotel One Dalton Street,Boston,3/20/2020,108
4/7/2020,"Suitsupply (Suit Supply (USA), Inc. & Café SuSu, Inc.",Boston,3/29/2020,34
4/7/2020,"Medford Wellington Service Co., Inc",Medford,3/18/2020,75
4/9/2020,"Museum of Fine Arts, Boston",Boston,4/10/2020,389
4/9/2020,"Beasley Media Group, LLC",Boston,4/1/2020,59
4/9/2020,"Toast, Inc.",Boston,4/8/2020,736
4/14/2020,"NewsLink  of Boston, LLC",Boston,4/14/2020,73
4/17/2020,Miller's Ale House,Watertown,3/21/2020,47
4/22/2020,Atrius Health,Medford,4/19/2020,83
4/22/2020,"Hard Rock Cafe International STP, Inc.",Boston,4/27/2020,58
4/23/2020,EWC Growth Partners,Boston,4/11/2020,114
4/27/2020,"OS Restaurant Services, LLC",Somerville,3/15/20 - 4/27/20,57
4/28/2020,The Hertz Corporation,Boston,4/14/20 - 4/17/20,171
4/28/2020,TripAdvisor,Boston,3/5/20 - 7/17/20,90
5/1/2020,The Harvard Club of Boston,Boston,7/15/2020,38
5/12/2020,"AMAG Pharmaceuticals, Inc.",Waltham,6/10/2020,32
5/12/2020,Davidson Hotel Company LLC (Hilton Boston Downtown-Faneuil Hall),Boston,3/23/2020,121
5/14/2020,"LAZ Parking Limited, LLC",Boston,3/13/20 - 5/1/20,627
5/20/2020,Gate Gourmet,Boston,5/20/2020,136
5/21/2020,Air Canada,Boston,3/24/2020,45
5/21/2020,UPDATED: The Hertz Corporation,Boston,5/20/2020,176
5/21/2020,UPDATED: Gate Gourmet,Boston,5/20/2020,136
5/29/2020,"Merritt Hospitality, LLC (Le Meridien Boston Cambridge)",Cambridge,5/21/2020,79
5/29/2020,"Merritt Hospitality, LLC (Liberty Hotel)",Boston,5/20/2020,205
6/1/2020,UPDATED: Atrius Health,Various Locations,5/17/20 - 5/31/20,172
6/2/2020,"Marriott Payroll Servies, LLC (The Boston Marriott Copley Place Hotel)",Boston,3/14/2020,543
