Notice Date,Company,County,Industry,Date of Impact,Number of Employees Affected
4/18/2018,Boyd Coffee Company,Lolo,Manufacturing,10/1/2018,1
3/21/2017,B/E Aerospace,Great Falls,Manufacturing,6/30/2017,80
1/4/2016,Tricon Lumber,Mineral,Timber,9/28/2015,50
1/20/2016,BNSF Railroad,Valley,Transportation,3/31/2016,50
3/30/2016,Sanjel,Custer,Oil & Gas,5/1/2016,Not noted
6/22/2016,Weyerhaueser,Flathead,Timber,9/4/2016,100
1/29/2015,Grand Pacific Resorts,Flathead,Hospitality,3/31/2015,65
5/7/2015,Asurion (NEW),Cascade,Call center,12/31/2015,341
9/23/2015,Golden Sunlight Mine,Jefferson,Mining,11/30/2015,140
11/4/2015,Fidelity Exploration & Prod.,Multiple - Eastern MT,Oil exploration,12/17/2015,MT # unknown
