Notice Date,Company,Jobs Affected,City,Location
6/4/2020,Marriott Corporate,86,Omaha,Omaha Marriott Downtown
5/19/2020,Atrium Hospitality - Embassy Suites,92,Omaha,Omaha - South 10th Street
5/18/2020,Royal Engineered Composits,99,Minden,Minden
5/11/2020,Hyatt Global Contact Center,223,Omaha,Global Contact Center
4/2/2020,Collegiate Hotel Group (Graduate Hotel),112,Lincoln,Graduate Hotel
3/5/2020,"Hy-Vee, Inc.",512,Omaha,Omaha Fulfillment Center
1/23/2020,"Hayneedle, Inc.",87,Omaha,Chalco Valley Parkway
1/23/2020,"Hayneedle, Inc.",138,Omaha,West Dodge Road
1/21/2020,"B & R Stores, Inc.",96,Omaha,Super Saver - Millard
1/18/2020,"Packers Sanitation Services, Inc.",58,Lincoln,Lincoln - Smithfield
