Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
22-Jun-20,Van Vleck Paint Shop,Matagorda,Gulf Coast WDA,10,21-Aug-20,23-Jun-20,Bay City
22-Jun-20,Clute Fabrication Shop,Brazoria,Gulf Coast WDA,46,21-Aug-20,23-Jun-20,Clute
22-Jun-20,Bradshaw State Jail,Rusk,East Texas WDA,229,3-Jul-20,22-Jun-20,Henderson
17-Jun-20,Pounds Photo Lab,Dallas,Dallas County WDA,61,1-Jul-20,18-Jun-20,Dallas
15-Jun-20,Adeputs Health dba FCER Management LLC,Dallas,Dallas County WDA,96,15-Aug-20,18-Jun-20,Irving
15-Jun-20,Hyatt Regency DFW,Tarrant,Tarrant County WDA,210,22-Mar-20,15-Jun-20,DFW Airport
12-Jun-20,Hyatt Corp dba Miraval Austin Wellness Resort & Spa,Travis,Capital Area WDA,137,22-Mar-20,12-Jun-20,Austin
12-Jun-20,Hyatt Regency - Austin,Travis,Capital Area WDA,224,15-Mar-20,12-Jun-20,Austin
11-Jun-20,Grand Hyatt San Antonio,Bexar,Alamo WDA,271,22-Mar-20,12-Jun-20,San Antonio
11-Jun-20,Owens-Corning - Amarillo,Randall,Panhandle WDA,205,5-Aug-20,11-Jun-20,Amarillo
11-Jun-20,Hotel Contessa,Bexar,Alamo WDA,84,13-Jun-20,11-Jun-20,San Antonio
8-Jun-20,Hyatt Regency - Houston,Fort Bend,Gulf Coast WDA,260,22-Mar-20,9-Jun-20,Houston
8-Jun-20,Ritz Carlton - Dallas,Dallas,Dallas County WDA,365,14-Mar-20,8-Jun-20,Dallas
5-Jun-20,"Seadrill Americas, Inc.",Harris,Gulf Coast WDA,135,16-Jun-20,8-Jun-20,Houston
4-Jun-20,Gaylord - Grapevine,Tarrant,Tarrant County WDA,1426,16-Mar-20,5-Jun-20,Grapevine
6/1/2020,Sound Inpatient Physicians Inc.,Tarrant,Tarrant County WDA,33,6/1/2020,6/3/2020,Westlake
6/1/2020,Echo Locum Tenens Inc.,Tarrant,Tarrant County WDA,13,6/1/2020,6/3/2020,Westlake
6/1/2020,"GE Engine Services, L.P.",Hidalgo,Lower Rio Grande Valley WDA,257,6/12/2020,6/1/2020,McAllen
6/1/2020,Turner Industries-Corpus Christi,Nueces,Coastal Bend WDA,40,6/25/2020,6/3/2020,Corpus Ch
6/1/2020,St. Regis Houston,Fort Bend,Gulf Coast WDA,180,3/21/2020,6/3/2020,Houston
5/31/2020,Jim's Formal Wear,Guadalupe,Alamo WDA,44,3/20/2020,4/15/2020,Seguin
5/29/2020,Renaissance Hotel,Travis,Capital Area WDA,243,3/21/2020,5/29/2020,Austin
5/29/2020,Collins Aerospace,Harris,Gulf Coast WDA,144,7/31/2020,5/28/2020,Houston
5/29/2020,Allied Aviation-Southlake,Tarrant,Tarrant County WDA,50,4/20/2020,5/29/2020,Southlake
5/29/2020,85C Bakery-Katy,Harris,Gulf Coast WDA,1,6/12/2020,5/29/2020,Katy
5/29/2020,Live by Loews,Tarrant,Tarrant County WDA,153,5/27/2020,5/29/2020,Arlington
5/29/2020,Holiday Inn Club Vacations-Pantego,Tarrant,Tarrant County WDA,307,5/21/2020,5/29/2020,Pantego
5/29/2020,85 C Bakery Café,Harris,Gulf Coast WDA,9,6/12/2020,5/29/2020,Friendswood
5/28/2020,Benchmark Electronics,Brazoria,Gulf Coast WDA,190,1/1/2021,5/29/2020,Angleton
5/27/2020,ECFMG-Clinical Skills Exam,Harris,Gulf Coast WDA,103,6/12/2020,5/29/2020,Houston
5/26/2020,First Texas Hospital Cy-Fair,Harris,Gulf Coast WDA,62,7/26/2020,5/29/2020,Houston
5/22/2020,Sheraton Austin,Travis,Capital Area WDA,99,5/21/2020,5/27/2020,Austin
5/22/2020,ProPetro-Coil Tubing Operations,Midland,Permian Basin WDA,32,5/27/2020,5/29/2020,Midland
5/22/2020,"Laz Parking Texas, LLC",Dallas,Dallas County WDA,310,3/8/2020,5/29/2020,Dallas
5/22/2020,The Moran at City Center,Harris,Gulf Coast WDA,47,5/22/2020,5/29/2020,Houston
5/21/2020,"Texas Steel Conversion, Inc.",Harris,Gulf Coast WDA,491,6/15/2020,5/29/2020,Houston
5/21/2020,Marriott City Place-Spicewood Village,Harris,Gulf Coast WDA,33,3/27/2020,5/29/2020,Spring
5/18/2020,XPO Logistics-Jacomson Warehouse,Dallas,Dallas County WDA,243,7/17/2020,5/20/2020,Dallas
5/14/2020,Cactus Wellhead,Ector,Permian Basin WDA,14,5/14/2020,5/14/2020,Odessa
5/14/2020,Allied Aviation-Houston,Harris,Gulf Coast WDA,77,4/20/2020,5/14/2020,Houston
5/14/2020,St Edwards University,Travis,Capital Area WDA,95,5/31/2020,5/18/2020,Austin
5/12/2020,Hydraulic Fracturing Facility,Midland,Permian Basin WDA,392,12-May-20,12-May-20,Midland
5/12/2020,James Avery -Fredericksburg,Gillespie,Alamo WDA,82,12-Jul-20,12-May-20,Fredericksburg
5/11/2020,"UTLX Manufacturing, Inc.",Harris,Gulf Coast WDA,278,10-Jul-20,12-May-20,Houston
5/7/2020,Saulsbury Industries-Odessa,Ector,Permian Basin WDA,3,22-May-20,13-May-20,Odessa
5/7/2020,"Saulsbury Industries, Inc.",Ector,Permian Basin WDA,12,11-May-12,13-May-20,Odessa
5/7/2020,Saulsbury Industries-Henderson,Rusk,East Texas WDA,58,21-May-20,13-May-20,Henderson
5/5/2020,Southwestern & Pacific #6972,Harris,Gulf Coast WDA,1,4/21/2020,5/5/2020,Spring
5/4/2020,Haliburton Energy Services-N. Sam Houston,Harris,Gulf Coast WDA,984,5/4/2020,5/5/2020,Houston
5/4/2020,Outback #4424,Jefferson,South East Texas WDA,65,3/15/2020,5/4/2020,Beaumont
5/4/2020,Covia-Crane,Crane,Permian Basin WDA,23,5/4/2020,5/4/2020,Crane
