Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
30-Dec-19,Ambit Energy - Call Center & Sales Support Office,Collin,North Central Texas WDA,50,14-Feb-20,30-Dec-19,Plano
23-Dec-19,"NortonLifeLock, Inc.",Collin,North Central Texas WDA,8,13-Feb-20,23-Dec-19,Plano
20-Dec-19,"Event Solutions International, Inc. dba Motus One (ESI)",Dallas,None,18,20-Dec-19,20-Dec-19,Carrollton
19-Dec-19,Car2go,Travis,Capital Area WDA,47,6-Mar-20,19-Dec-19,Austin
18-Dec-19,Yauatcha Houston,Harris,Gulf Coast WDA,80,16-Feb-20,18-Dec-19,Houston
13-Dec-19,Stewart and Stevenson,Harris,Gulf Coast WDA,55,12-Feb-20,13-Dec-19,Houston
10-Dec-19,Pumpco Energy Services-Cleburne,Johnson,North Central Texas WDA,5,31-Dec-19,10-Dec-19,Cleburne
26-Nov-19,New LifeCare Management Services dba LifeCare Health Partners,Collin,North Central Texas WDA,9,26-Nov-19,26-Nov-19,Plano
22-Nov-19,National Oilwell Varco -Galena Park,Harris,Gulf Coast WDA,85,22-Nov-19,22-Nov-19,Galena Park
22-Nov-19,Pumpco Energy Services-Odessa,Ector,Permian Basin WDA,112,25-Nov-19,22-Nov-19,Odessa
19-Nov-19,"NortonLifeLock, Inc.",Collin,North Central Texas WDA,34,17-Jan-20,21-Nov-19,Plano
20-Nov-19,Nuvectra Corporation,Collin,North Central Texas WDA,14,19-Jan-20,20-Nov-19,Plano
19-Nov-19,"TimkenSteel Material Services, LLC",Harris,Gulf Coast WDA,94,18-Jan-20,19-Nov-19,Houston
14-Nov-19,"Range Production Company, LLC.",Harris,Gulf Coast WDA,57,12-Nov-19,14-Nov-19,Houston
7-Nov-19,"Convergent Outsourcing, Inc.",Bexar,Alamo WDA,40,17-Sep-19,12-Nov-19,San Antonio
6-Nov-19,Nix Hospital-Nix Behavioral Health Center,Bexar,Alamo WDA,972,4-Jan-20,6-Nov-19,San Antonio
6-Nov-19,Geo Secure Services LLC,Bexar,Alamo WDA,158,6-Jan-20,31-Oct-19,San Antonio
29-Oct-19,Oakwood Worldwide,Dallas,Dallas County WDA,1,30-Dec-19,29-Oct-19,Carrollton
29-Oct-19,Samsung Austin Semiconductors LLC-Central Processing Unit,Travis,Alamo WDA,290,31-Dec-19,29-Oct-19,Austin
23-Oct-19,Harte-Hanks,Travis,Capital Area WDA,146,22-Dec-19,24-Oct-19,Austin
