County/Parish,"WARN
No.",Notice Date,Received Date,Effective Date,Company,No. Of Employees,Address
Durham County,20190001,1/9/2019,1/9/2019,3/11/2019,"Seterus, Inc.  a subsidiary of IBM",310,3039 Cornwallis Road  Durham NC 27709
Mecklenburg County,20190002,1/18/2019,1/18/2019,3/31/2019,"Sodexo, Inc.",69,5501  Josh Birmingham Pkwy  Charlotte NC 28208
Mecklenburg County,20190003,1/25/2019,1/25/2019,3/29/2019,"Conduent Commercial Solutions, LLC (Charlotte)",61,2745 Whitehall Park Dr  Charlotte NC 28273
Mecklenburg County,20190004,2/6/2019,2/6/2019,7/5/2019,"KCI USA, Inc. (Charlotte)",65,10101 Claude Freeman Dr. Ste. 210 W Charlotte NC 28262
Clark County,20190006,2/13/2019,2/13/2019,3/15/2019,Spectrum Pharmaceuticals,2,"11500 S. Eastern Avenue Suite 240
Henderson NV 89052"
Mecklenburg County,20190007,2/20/2019,2/20/2019,4/7/2019,Concentrix Corporation,173,8600 McAlpine Rd  Charlotte NC 28211
Burke County,20190008,2/15/2019,2/21/2019,4/22/2019,RADGroup,73,647 Hopewell Rd  Morganton NC 28655
Guilford County,20190008,2/15/2019,2/21/2019,4/22/2019,RADGroup,1,317 W High Avenue 7th floor High Point NC 27260
Mecklenburg County,20190009,2/27/2019,2/27/2019,4/30/2019,Concentrix Corporation (Charlotte Contact Ctr.),30,8600 McAlpine Rd  Charlotte NC 28211
Wayne County,20190010,2/27/2019,2/28/2019,5/31/2019,Ex-Cell Home Fashions Inc,63,1500 N Carolina St  Goldsboro NC 27530
Wake County,20190011,3/1/2019,3/4/2019,5/6/2019,AsteelFlash USA Corp.,204,6833 Mt Herman Rd  Morrisville NC 27560
Carteret County,20190012,3/14/2019,3/15/2019,5/14/2019,"Atlantic Veneer Company, LLC",61,2457 Lennoxville Road  Beaufort NC 28516
Mecklenburg County,20190013,3/12/2019,3/15/2019,5/12/2019,"WFS Express, Inc.",127,3628 Yorkmont Road #A  Charlotte NC 28208
Pitt County,20190014,3/19/2019,3/26/2019,5/21/2019,Concentrix CVG Corporation (Greenville),318,1130 Sugg Parkway  Greenville NC 27834
Lee County,20190015,3/28/2019,4/1/2019,1/31/2020,"Circle K Stores, Inc.",50,1800 Douglas Drive  Sanford NC 27330
Mecklenburg County,20190016,3/28/2019,4/1/2019,6/3/2019,Massachusetts Mutual Life Insurance Company,164,11215 N. Community House Road Charlotte NC 28277
Cumberland County,20190017,3/29/2019,4/4/2019,5/31/2019,General Dynamics Information Technology,77,2927 Blackjack Street  Fort Bragg NC 28310
Mecklenburg County,20190019,4/4/2019,4/4/2019,6/4/2019,"Lowe's Companies, Inc.",207,5600 David Cox Road  Charlotte NC 28269
Wilkes County,20190019,4/4/2019,4/4/2019,7/16/2019,"Lowe's Companies, Inc.",12,1605 Curtis Bridge Road  Wilkesboro NC 28697
Lincoln County,20190018,4/4/2019,4/5/2019,6/7/2019,"UTC Fire & Security Americas Corporation, Inc.",220,3211 Progress Dr  Lincolnton NC 28092
Mecklenburg County,20190021,4/9/2019,4/10/2019,6/8/2019,"CDA, Inc.",9,11519 Nations Ford Road  Pineville NC 28134
Mecklenburg County,20190021,4/9/2019,4/10/2019,6/8/2019,"CDA, Inc.",69,9900 Brookford Street  Charlotte NC 28273
Mecklenburg County,20190021,4/9/2019,4/10/2019,6/8/2019,"CDA, Inc.",70,8500 S Tryon St  Charlotte NC 28273
Surry County,20190020,4/10/2019,4/10/2019,9/28/2019,Hanesbrands Inc (Mt. Airy),222,645 West Pine St.  Mount Airy NC 27030
McDowell County,20190022,4/17/2019,4/17/2019,6/15/2019,"Ethan Allen Operations, Inc. (Pine Valley Case Goods Manufacturing Division)",325,912 East Main Street  Old Fort NC 28762-0639
Wake County,20190023,4/22/2019,4/23/2019,6/30/2019,"Arysta Lifescience North America, LLC",18,15401 Weston Pkwy # 150  Cary NC 27513
Wayne County,20190024,4/26/2019,4/26/2019,6/26/2019,Cooper Standard Automotive Inc.,15,280 Woodland Church Rd.  Goldsboro NC 27530
Wayne County,20190024,4/26/2019,4/26/2019,6/26/2019,Cooper Standard Automotive Inc.,100,308 Fedelon Trail  Goldsboro NC 27530
Wake County,20190025,4/30/2019,5/1/2019,6/30/2019,"FedEx Supply Chain, Inc.",55,1011 North Arendell Avenue  Zebulon NC 27597
Franklin County,20190026,5/1/2019,5/2/2019,7/1/2019,"Ply Gem Speciality Products, LLC d/b/a Canyon Stone",59,409 Northbrook Dr  Youngsville NC 27596
Mecklenburg County,20190027,5/1/2019,5/3/2019,5/1/2019,Baker & Taylor,37,2550 W Tyvola Rd  Charlotte NC 28217
Wilson County,20190028,5/1/2019,5/8/2019,6/30/2019,Absolute Plastics LLC,9,2301 Wilco Blvd S  Wilson NC 27893
Guilford County,20190029,5/20/2019,5/24/2019,9/1/2019,"Eastern Airlines, LLC",50,4310 Regency Dr Ste 100 High Point NC 27265
Henderson County,201900033,5/30/2019,6/4/2019,6/30/2019,FACILITY LOGISTIC SERVICES  INC,90,32 SMYTH AVE  Hendersonville NC 28792
Columbus County,201900034,6/3/2019,6/6/2019,8/2/2019,Cornerstone Building Brands,58,15159 Andrew Jackson Hwy 76 W  Fair Bluff NC 28439
