WARN#,Company,Location,Notice Date,Laid Off,Layoff Type,Received Date
6935,ATI Albany Operations,Albany,9/7/2020,135,Large Layoff - 10 or more workers,6/10/2020
6875,"Continuum Global Solutions, LLC",Portland,8/12/2020,255,Permanent closure,6/10/2020
6987,Levy Premium Foodservice...LLC,Portland,8/1/2020,54,Reduction,6/24/2020
2612,"TBS, Inc - Portland",Portland,7/31/2020,30,Reduction,2/14/2020
2562,NortonLifeLock Inc - Springfield,Springfield,7/1/2020,7,Reduction,11/19/2019
6465,Portland Art Museum,Portland,7/1/2020,96,Reduction,4/28/2020
4073,SAGE,Portland,6/19/2020,226,Large Layoff - 10 or more workers,3/30/2020
6462,Hertz,"Estero, FL",6/18/2020,1,Reduction,4/24/2020
6874,EVRAZ - Portland,Portland,6/8/2020,65,Reduction,6/8/2020
6596,Nordstrom - Clackamas Town Center,Happy Valley,6/1/2020,189,Permanent closure,5/11/2020
6751,Interfor - Gilchrist Division,Gilchrist,6/1/2020,131,Temporary Layoff,5/19/2020
6846,Embassy Suites - Portland - Wash Sq ,Tigard,6/1/2020,7,Temporary Layoff,5/31/2020
6847,Benson Hotel,Portland,6/1/2020,81,Reduction,6/1/2020
5587,The Portland Clinic,Portland,6/1/2020,101,Reduction,4/14/2020
5587,The Portland Clinic,Portland,6/1/2020,90,Temporary Layoff,4/14/2020
2770,Tualatin Hills Park & Recreation Distri,Beaverton,5/23/2020,23,Reduction,3/23/2020
6462,Hertz - PDX,Portland,5/20/2020,17,Temporary Layoff,4/24/2020
6352,Meggitt - Oregon Inc,Mcminnville,5/18/2020,118,Large Layoff - 10 or more workers,4/30/2020
6468,DAKINE,Hood River,5/15/2020,39,Permanent closure,5/1/2020
6271,Adventist Health - Tillamook,Tillamook,5/5/2020,15,Temporary Layoff,4/23/2020
6271,Adventist Health - Tillamook,Tillamook,5/5/2020,2,Reduction,4/23/2020
4956,Multnomah Athletic Club,Portland,5/1/2020,635,Large Layoff - 10 or more workers,4/6/2020
2607,arauco,Eugene,5/1/2020,84,Permanent closure,2/11/2020
6183,Enterprise Holdings ,Tualatin,4/30/2020,14,Reduction,4/23/2020
6183,Enterprise Holdings - PDX,Portland,4/30/2020,18,Reduction,4/23/2020
2608,Concordia University,Portland,4/25/2020,"1,012",Permanent closure,2/12/2020
2562,NortonLifeLock Inc - Springfield,Springfield,4/24/2020,2,Reduction,11/19/2019
3701,ALSCO,Portland,4/24/2020,31,Temporary Layoff,3/25/2020
6065,Visionworks,"San Antonio, TX",4/20/2020,103,Other,4/23/2020
2612,"TBS, Inc - Portland",Portland,4/16/2020,22,Permanent closure,2/14/2020
2614,Delivery Force - DPD 1 - Portland,Portland,4/16/2020,48,Permanent closure,2/13/2020
2614,Delivery Force - HPD1 - Portland,Portland,4/16/2020,30,Permanent closure,2/13/2020
6903,PCC Structurals - Portland,Portland,4/15/2020,547,Reduction,6/4/2020
6903,PCC Structurals - Clackamas,Clackamas,4/15/2020,170,Reduction,6/4/2020
6964,The Bay Company - Portland,Tigard,4/15/2020,289,Large Layoff - 10 or more workers,6/9/2020
6462,Hertz - PDX,Portland,4/14/2020,67,Large Layoff - 10 or more workers,4/24/2020
5781,Women's Healthcare Associates,Portland,4/13/2020,186,Temporary Layoff,4/14/2020
6903,PCC Structurals - Redmond,Redmond,4/13/2020,175,Large Layoff - 10 or more workers,6/4/2020
4957,Eagle Crest Resort,Redmond,4/10/2020,60,Temporary Layoff,4/9/2020
3842,Valley River Inn,Eugene,4/9/2020,10,Temporary Layoff,3/26/2020
4763,Allura - OR,White City,4/8/2020,80,Other,4/8/2020
4388,EVRAZ - Portland,Portland,4/6/2020,232,Reduction,4/6/2020
5587,The Portland Clinic,Portland,4/6/2020,193,Other,4/14/2020
5407,John's Incredible Pizza Company ,Beaverton,4/3/2020,74,Temporary Layoff,3/31/2020
4334,Carr Auto Group,Beaverton,4/3/2020,54,Temporary Layoff,4/3/2020
4038,Meritex Portland Central Laundry,Portland,4/2/2020,50,Temporary Layoff,3/31/2020
2599,moovel North America,Portland,4/1/2020,22,Large Layoff - 10 or more workers,1/16/2020
5587,The Portland Clinic,Portland,4/1/2020,234,Other,4/14/2020
4169,Shamrock Foods Co.,Portland,4/1/2020,8,Temporary Layoff,4/1/2020
4091,SAS Restaurant Ventures,Ontario,3/31/2020,32,Temporary Layoff,3/31/2020
5668,Augusta Sportswear Brands - Coburg,Coburg,3/31/2020,25,Temporary Layoff,4/16/2020
2770,Tualatin Hills Park & Recreation Distri,Beaverton,3/31/2020,30,Reduction,3/23/2020
2544,Oakwood Portland,Portland,3/30/2020,1,Permanent closure,10/29/2019
3961,Ahern Rentals,Portland,3/30/2020,1,Reduction,3/28/2020
5668,Augusta Sportswear Brands - Coburg,Coburg,3/30/2020,21,Temporary Layoff,4/16/2020
4079,Paper Source - Portland,Portland,3/29/2020,13,Temporary Layoff,3/27/2020
4079,Paper Source - Tigard,Tigard ,3/29/2020,13,Temporary Layoff,3/27/2020
6846,Embassy Suites - Portland - Wash Sq ,Tigard,3/29/2020,81,Temporary Layoff,5/31/2020
4075,FXI Inc,Portland,3/27/2020,77,Permanent closure,3/31/2020
4762,Phoenix Inn Suites,Salem,3/27/2020,15,Reduction,4/8/2020
4762,Phoenix Inn Suites - Albany,Albany,3/27/2020,13,Reduction,4/8/2020
4762,Phoenix Inn Suites - Lake Oswego,Lake Oswego,3/27/2020,12,Reduction,4/8/2020
4762,Phoenix Inn Suites - Eugene,Eugene,3/27/2020,21,Reduction,4/8/2020
4762,The Grand Hotel in Salem,Salem,3/27/2020,26,Reduction,4/8/2020
4762,The Salem Convention Center,Salem,3/27/2020,72,Reduction,4/8/2020
4762,Bentley's Grill,Salem,3/27/2020,40,Reduction,4/8/2020
4762,The Grand Hotel at Bridgeport,Tigard,3/27/2020,28,Reduction,4/8/2020
2597,Philips - Neurology Solutions,Eugene,3/27/2020,60,Permanent closure,1/27/2020
