Notice Date,Company,Location,Affected Workers
6/3/2020,UtahAmerican Energy,East Carbon,268
5/21/2020,Hertz,SLC,76
5/19/2020,Dexter Axle Company,Lehi,109
5/11/2020,Dexter Axle Company,SLC,61
5/1/2020,Hertz,SLC,74
5/1/2020,LendingClub,Lehi,144
5/1/2020,Enterprise,SLC,216
5/1/2020,Core-Mark,SLC,79
4/23/2020,Hexcel Corp.,West Valley,430
4/23/2020,Utility Trailer,Clearfield,492
4/15/2020,Exeter Finance LLC,Clearfield,238
4/15/2020,Backroads Utah,SLC,84
4/15/2020,Cinemark,Statewide,666
4/15/2020,Thumbtack Inc.,Draper,129
4/15/2020,ABM Aviation,SLC,83
4/3/2020,Black Turtle Services,Sandy,195
4/3/2020,Punch Bowl Social,SLC,85
4/3/2020,Simpler Postage,Ogden,20
3/3/2020,Vivint Wireless,Lehi,113
2/13/2020,Walmart,SLC,126
2/5/2020,Solera Holdings,SLC,201
2/4/2020,UPS,SLC,142
2/4/2020,Isagenix,Lehi,140
