Company,Company Address,Company Address - 2,City/Town,State,Zip,Contact,Contact Phone Number,Ext,Employees Affected,Notice Date,Impact Date,Location City,Location State,Closure,Layoff,Permanent Reduction,Realignment,Collective Bargaining Unit,Region
The Alexandrian Hotel,480 King Street,,Alexandria,VA,22314,Nicole Pinkham,(703) 842-2766,,59,6/19/2020,6/11/2020,Alexandria,VA,No,Yes,No,No,,Northern
Hyatt Regency Tysons Corner Center,*Due to COVID-19,7901 Tysons One Place,Tysons Corner,VA,22102,Jon  Davenhall ,(703) 848 -6300,,54,6/19/2020,3/22/2020,Tysons Corner,VA,No,Yes,No,No,,Northern
The Ritz Carlton Tysons Corner,*Due to COVID-19,1700 Tysons Blvd,McLean,VA,22102,Meredith  Miller,(703) 917-5714,,344,6/5/2020,3/21/2020,McLean,VA,No,Yes,No,No,,Northern
Joy Global Underground Mining (Komatsu Mining Corp. Group),1081 Hockman Pike,,Bluefield,VA,24605,Pam  Seals,(276) 431-6202,,71,6/5/2020,6/5/2020,Bluefield,VA,No,Yes,No,No,,Western
Marriott -Crystal City at Reagan National Airport,*Due to COVID-19,1999 Richmond Highway,Arlington,VA,22202,Sabrina Thompson-Huntzinger,(703) 413-6553,,176,6/5/2020,3/16/2020,Arlington,VA,No,Yes,No,No,,Northern
Marriott-Crystal Gateway,*Due to COVID-19,1700 Richmond Highway,Arlington,VA,22202,Sabrina  Thompson-Huntzinger,(703) 271-5134,,308,6/5/2020,3/16/2020,Arlington,VA,No,Yes,No,No,,Northern
Marriott-Westfields Washington Dulles-,*Due to COVID-19,14750 Conference Center Drive,Chantilly,VA,20151,Rosie  Irwin,(703) 818-3572,,167,6/5/2020,3/18/2020,Chantilly,VA,No,Yes,No,No,,Northern
"Marriott Hotel Services, Inc. ",*Due to COVID-19, 45020 Aviation Drive,Dulles,VA,21066,Rosie  Irwin,(703) 318-6214,,105,6/5/2020,3/18/2020,Dulles,VA,No,Yes,No,No,,Northern
Tysons Corner Marriott,*Due to COVID-19,8028 Leesburg Pike,Vienna,VA,22182,Christine Haag,(571) 474-7921,,120,6/5/2020,3/21/2020,Vienna,VA,No,Yes,No,No,,Northern
Marriott Falls Church Fairview Park,*Due to COVID-19,3111 Fairview Park Drive,Falls Church,VA,22042,Anne Dakins,(703) 846-0222 ,,164,6/4/2020,3/17/2020,Falls Church,VA,No,Yes,No,No,,Northern
Residence Inn Arlington Pentagon City,*Due to COVID-19,550 Army Navy Drive,Arlington,VA,22202,An Vo,(703) 413-6630,,75,6/3/2020,3/17/2020,Arlington,VA,No,Yes,No,No,,Northern
