Company,Location,Notice Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
Ponderay Newsprint Company,Usk,6/25/2020,148,Closure,Permanent,6/26/2020
Spire Hospitality,"Lynnwood, Seattle",7/1/2020,187,Layoff,Permanent,6/26/2020
"Safran Cabin Materials, LLC",Marysville and Newport,6/23/2020,85,Layoff,Permanent,6/24/2020
Sodexo,SeaTac,4/17/2020,41,Closure,Permanent,6/24/2020
Swissport Fueling,SeaTac,5/8/2020,69,Layoff,Permanent,6/19/2020
"Swissport USA, Inc",SeaTac,5/22/2020,62,Layoff,Permanent,6/19/2020
"Swissport USA, Inc",SeaTac,3/20/2020,167,Layoff,Temporary,6/19/2020
Tool Gauge and Machine Works,Tacoma,6/17/2020,59,Layoff,Permanent,6/18/2020
Hyatt Corporation Motif Seattle,Seattle,3/14/2020,91,Layoff,Temporary,6/18/2020
"Jacobsen Daniel's Enterprise, Inc",Tacoma,6/12/2020,1,Layoff,Permanent,6/18/2020
"Benchmark Stevenson, LLC d/b/a Skamania Lodge",Stevenson,3/18/2020,185,Layoff,Temporary,6/17/2020
Seattle Art Museum,Seattle,7/5/2020,76,Layoff,Temporary,6/16/2020
Chihuly Garden & Glass,Seattle,3/21/2020,97,Layoff,Temporary,6/16/2020
Seattle Center,Seattle,3/21/2020,182,Layoff,Temporary,6/16/2020
Sekisui Aerospace,Renton and Sumner,6/12/2020,111,Layoff,Permanent,6/15/2020
Pioneer Human Services,Seattle,8/14/2020,59,Layoff,Permanent,6/15/2020
Crista Senior Living,Shoreline,8/16/2020,156,Closure,Permanent,6/15/2020
Hyatt Corporation / Hyatt Regency Bellevue,Bellevue,3/15/2020,223,Layoff,Temporary,6/15/2020
"Toray Composite Materials America, Inc",Tacoma,8/8/2020,146,Layoff,Permanent,6/12/2020
Embassy Suites Seattle Bellevue,Seattle,6/1/2020,57,Layoff,Temporary,6/12/2020
Triumph Aerospace Structures,Spokane,6/15/2020,12,Layoff,Permanent,6/11/2020
Hyatt Corporation / Hyatt Regency Lake Washington,Renton,6/30/2020,129,Layoff,Temporary,6/9/2020
"Lamb Weston, Inc","Connell, WA",6/15/2020,360,Layoff,Temporary,6/8/2020
"Lamb Weston, Inc",Warden,6/15/2020,300,Layoff,Temporary,6/8/2020
Boeing,Puget Sound Area,7/31/2020,5798,Layoff,Permanent,6/8/2020
"Cadence Aerospace, Giddence Industries",Everett,4/24/2020,72,Layoff,Permanent,6/5/2020
"W Hotel Management, Inc., dba W Bellevue",Bellevue,3/16/2020,105,Layoff,Temporary,6/4/2020
"WHC Payroll, dba The Westin Bellevue",Bellevue,3/16/2020,155,Layoff,Temporary,6/4/2020
Fairmont Olympic Hotel,Seattle,6/1/2020,58,Layoff,Permanent,6/4/2020
Fairmont Olympic Hotel,Seattle,6/1/2020,278,Layoff,Temporary,6/4/2020
Mitsubishi Aircraft Corporation,"Moses Lake, Renton",6/1/2020,240,Layoff,Permanent,6/4/2020
"Marriott International, Inc dba Seattle Redmond Marriott",Redmond,3/21/2020,105,Layoff,Temporary,6/3/2020
"WHC Payroll Company, dba The Westin Seattle",Seattle,3/14/2020,498,Layoff,Temporary,6/3/2020
"KS Tacoma Hotel, LLC dba Hotel Murano",Tacoma,3/13/2020,133,Layoff,Temporary,6/3/2020
Aviation Technical Services,Everett,6/4/2020,142,Layoff,Permanent,6/2/2020
SHG Hotel SPE LLC,Seattle,5/15/2020,119,Layoff,Permanent,6/2/2020
WHC Payroll Co Sheraton Grand Seattle,Seattle,3/21/2020,503,Layoff,Temporary,6/1/2020
"Coast Wenatchee, LLC",Wenatchee,6/1/2020,58,Layoff,Permanent,6/1/2020
WHC Payroll Company / W Seattle,Seattle,3/21/2020,203,Layoff,Temporary,6/1/2020
"Marriott International Inc., dba Seattle Marriott Waterfront",Seattle,3/21/2020,166,Layoff,Temporary,6/1/2020
"Marriott Hotel Services, Inc., dba Seattle Marriott Bellevue",Bellevue,3/21/2020,129,Layoff,Temporary,6/1/2020
Hyatt Corporation / Thompson Seattle,Seattle,6/1/2020,49,Layoff,Temporary,5/29/2020
Hyatt Corporation / Thompson Seattle,Seattle,6/1/2020,50,Layoff,Permanent,5/29/2020
"Loews Seattle Operating Company, LLC",Seattle,5/27/2020,12,Layoff,Permanent,5/29/2020
"Loews Seattle Operating Company, LLC",Seattle,5/27/2020,55,Layoff,Temporary,5/29/2020
Happy Guests International d/b/a Salty's,"Seattle, Des Moines",3/15/2020,282,Layoff,Temporary,5/29/2020
Saint-Gobain,Puyallup,6/30/2020,96,Closure,Permanent,5/28/2020
Service Labs Inc. dba Pro.com,Seattle,5/22/2020,52,Layoff,Permanent,5/27/2020
Holland America Line NV,Seattle,6/2/2020,583,Layoff,Permanent,5/27/2020
Princess Cruise Lines Ltd,Seattle,6/2/2020,122,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/31/2020,106,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/31/2020,276,Layoff,Temporary,5/27/2020
Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/30/2020,152,Layoff,Temporary,5/27/2020
Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/30/2020,44,Layoff,Permanent,5/27/2020
Hyatt Corporation / Hyatt at Olive 8,Seattle,5/29/2020,123,Layoff,Temporary,5/27/2020
Hyatt Corporation / Hyatt at Olive 8,Seattle,5/29/2020,29,Layoff,Permanent,5/27/2020
"Gate Gourmet, Inc",Seattle,5/20/2020,207,Layoff,Permanent,5/20/2020
YMCA of Greater Seattle,Seattle,5/9/2020,122,Layoff,Temporary,5/19/2020
Renaissance Seattle Hotel,Seattle,6/1/2020,190,Layoff,Permanent,5/19/2020
"WeDriveU, Inc",Renton and Mukilteo,5/15/2020,73,Closure,Permanent,5/15/2020
Saalex Solutions Inc,Keyport,7/31/2020,51,Layoff,Permanent,5/15/2020
"Flying Food Group, LLC",Seattle,4/17/2020,153,Layoff,Permanent,5/14/2020
Electro Rent Corporation,Redmond,5/13/2020,1,Layoff,Temporary,5/13/2020
"Crest Logistics, LLC","Burbank, WA",5/11/2020,68,Closure,Permanent,5/11/2020
Cox Automotive,Kent,5/17/2020,123,Layoff,Temporary,5/11/2020
Lee Johnson Auto Family,"Everett, Kirkland, and Monroe",3/30/2020,169,Layoff,Temporary,5/8/2020
"Visionworks, Inc","Spokane, Vancouver, and Renton",4/4/2020,28,Layoff,Temporary,5/7/2020
"HDI Landing Gear USA, Inc",Everett,5/5/2020,3,Layoff,Permanent,5/5/2020
"Crescent Hotels & Resorts, LLC",Bellevue,3/11/2020,42,Layoff,Temporary,5/4/2020
"Cosmo Specialty Fibers, Inc",Cosmopolis,5/1/2020,132,Layoff,Temporary,5/1/2020
Regal Cinemas,Mountlake Terrace,3/16/2020,84,Layoff,Temporary,4/29/2020
Karcher North America,Camas,5/29/2020,95,Closure,Permanent,4/29/2020
IVI Hotel Management of Washington,Various locations in Washington,3/20/2020,337,Layoff,Permanent,4/29/2020
IVI Hotel Management of Washington,Various locations in Washington,3/20/2020,20,Layoff,Temporary,4/29/2020
Alcoa Intalco Works,Ferndale,6/21/2020,700,Layoff,Permanent,4/29/2020
