Company,Location,Notice Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
CXT / LB Foster Company,Spokane,12/31/2019,77,Closure,Permanent,11/4/2019
Clarisonic (aka Pacific Bioscience Laboratories and Pacific Bioscience Laboratories Products Inc),Redmond,12/31/2019,92,Closure,Permanent,10/29/2019
"MV Transportation, Inc",Spokane Valley,12/31/2019,59,Closure,Permanent,10/29/2019
Oakwood Worldwide (US) LP,Tukwila,12/30/2019,7,Layoff,Permanent,10/29/2019
Backflip Studios,Renton,12/23/2019,1,Closure,Permanent,10/23/2019
Applus Technologies Inc,Statewide,12/31/2019,118,Layoff,Permanent,10/23/2019
School Specialty Inc / Premier Agendas LLC,Bellingham,12/31/2019,40,Closure,Permanent,10/15/2019
Zirkle Fruit Company,Prosser,12/6/2019,164,Layoff,Permanent,10/11/2019
Katerra,Seattle,10/9/2019,58,Layoff,Permanent,10/10/2019
FleetPride,Tacoma,12/6/2019,7,Closure,Permanent,10/7/2019
Wyndham Vacation Clubs,Redmond,12/6/2019,103,Closure,Permanent,10/3/2019
CHI Franciscan Health,Burien,12/31/2019,86,Closure,Permanent,9/30/2019
Trident Seafoods Corporation,Seattle,11/15/2019,63,Closure,Permanent,9/16/2019
Food Services of America,Kent,10/14/2019,200,Closure,Permanent,9/13/2019
Northwest Hardwoods,Mount Vernon,11/11/2019,66,Layoff,Permanent,9/12/2019
Univar Solutions,Redmond,11/15/2019,65,Layoff,Permanent,9/11/2019
Premier XD,Everett,9/11/2019,99,Closure,Permanent,9/11/2019
Premier XD,Everett,9/11/2019,7,Closure,Permanent,9/11/2019
"Transdev Services, Inc",Kent,10/31/2019,340,Layoff,Permanent,9/3/2019
Brinderson,Anacortes,9/5/2019,61,Closure,Permanent,8/29/2019
First Transit,Seattle,10/25/2019,86,Closure,Permanent,8/22/2019
Zirkle Fruit Company,Prosser,10/17/2019,95,Layoff,Permanent,8/16/2019
Nestle,Kent,10/18/2019,67,Closure,Permanent,8/16/2019
Conifer,Tacoma,11/15/2019,169,Closure,Permanent,8/14/2019
Seneca Foods Corporation,Yakima,10/5/2019,300,Closure,Permanent,8/6/2019
United Natural Foods/SUPERVALU,Tacoma,9/28/2019,280,Closure,Permanent,8/2/2019
AECOM,Pacific Beach and Whidbey Island,9/30/2019,10,Layoff,Permanent,7/31/2019
HMS Host,SeaTac,9/30/2019,21,Closure,Permanent,7/30/2019
Futurewei,Bellevue,9/23/2019,41,Closure,Permanent,7/23/2019
Salvation Army,Seattle,9/27/2019,58,Closure,Permanent,7/23/2019
Sky Chefs,Seattle,9/15/2019,49,Closure,Permanent,7/16/2019
"REC Silicon, Inc.",Moses Lake,7/15/2019,100,Closure,Temporary,7/16/2019
United Natural Foods/SUPERVALU,Auburn,9/8/2019,116,Closure,Permanent,7/15/2019
Community Psychiatric Clinic,Seattle,8/31/2019,26,Closure,Permanent,7/3/2019
Keiro Northwest,Seattle,10/1/2019,259,Closure,Permanent,6/28/2019
Capital One,Seattle,9/1/2019,146,Closure,Permanent,6/26/2019
