Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Kimpton Journeyman Hotel,Milwaukee,97,7/1/2020,WR,3/15/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Hilton Garden Inn - Milwaukee Airport,Milwaukee,48,7/2/2020,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Home2 Suites,Milwaukee,16,7/2/2020,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
SpringHill Suites,Madison,37,7/2/2020,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hampton Inn and Suites,Madison,45,7/2/2020,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Renaissance Manufacturing Group,Waukesha,120,6/1/2020,CL,7/31/2020,Iron Foundries,Waukesha,Waukesha-Ozaukee-Washington
Union Cab of Madison Cooperative,Madison,126,6/1/2020,WR,3/22/2020,Taxi Service,Dane,South Central
Humane Manufacturing LLC,Janesville,21,6/1/2020,CL,7/31/2020,Resilient Floor Covering Mfg.,Rock,Southwest
PMI Entertainment Group Inc.,Green Bay,31,6/4/2020,WR,7/1/2020,Promoters With Facilities,Brown,Bay Area
Astec Industries Inc and Telsmith Inc,Mequon,135,6/8/2020,CL,8/14/2020,Construction Machinery Mfg,Ozaukee,Waukesha-Ozaukee-Washington
Verso Corporation,Wisconsin Rapids,902,6/10/2020,CL,7/31/2020,Paper exc Newsprint Mills,Wood,North Central
Nova Wildcat Shur-Line LLC,St. Francis,93,6/12/2020,CL,8/14/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Derse Inc.,Milwaukee,87,6/12/2020,WR,6/11/2020,Sign Mfg.,Milwaukee,Milwaukee
Hyatt Corporation,Green Bay,42,6/15/2020,WR,3/22/2020,Hotels & Motels exc Casino Hotels,Brown,Bay Area
Catalytic Combustion,Bloomer,26,6/15/2020,WR,6/7/2020,Air Purification Equip Mfg,Chippewa,West Central
Novares Americas Engine Components Inc,Richland Center,74,6/17/2020,CL,8/17/2020,All Other Plastics Product Mfg.,Richland,Southwest
American Phoenix,Eau Claire,46,6/19/2020,WR,6/19/2020,All Other Rubber Product Mfg,Eau Claire,West Central
"Graceland Fruit Wisconsin, Inc.",Warrens,65,6/23/2020,CL,6/18/2020,Dried & Dehydrated Food Mfg,Monroe,Western
"Demco, Inc.","Madison, Deforest",38,6/25/2020,WR,8/3/2020,Office Supplies Merch Whls,Dane,South Central
Levy Premium Food Service at Fiserv Forum,Milwaukee,47,6/25/2020,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
Levy Premium Food Service at Wisconsin Center District,Milwaukee,25,6/25/2020,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
ALG Vacations,Milwaukee,149,6/25/2020,WR,7/1/2020,Tour Operators,Milwaukee,Milwaukee
Hilton Madison Monona Terrace,Madison,40,6/25/2020,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Milwaukee City Center,Milwaukee,211,6/25/2020,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
