Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
CFS Brands,Sparta,83,11/12/2019,CL,1/31/2020,Broom Brush & Mop Mfg,Monroe,Western
Cerner Corporation,Beloit,1,11/13/2019,WR,1/14/2020,Computer & Software Merch Whls,Rock,Southwest
Kohler Co.,Kohler,90,11/15/2019,WR,1/12/2020,Misc Fabricated Metal Product Mfg,Sheboygan,Bay Area
"Alorica, Inc.",Green Bay,157,12/13/2019,CL,2/28/2020,Telemarketing & Other Contact Centers,Brown,Bay Area
Chancery Pub and Restaurant,Kenosha,77,11/4/2019,CL,12/31/2019,Full Service Restaurant,Kenosha,Southeast
Regal Beloit America Inc.,Clinton,59,12/2/2019,CL,1/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
"Transform KM, LLC",Kenosha,70,11/19/2019,CL,2/16/2020,Department Stores,Kenosha,Southeast
JB Milwaukee Healthcare,Milwaukee,120,11/21/2019,CL,1/20/2020,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
Dycora Transitional Health - Colonial Manor,Glendale,66,11/22/2019,CL,1/17/2019,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
"Olameter DPG, LLC",Oak Creek,70,11/27/2019,CL,12/31/2019,All Other Support Services,Milwaukee,Milwaukee
"TGI Friday's Inc./Milwaukee Front Row Joint Venture, LLC.",Milwaukee,86,10/9/2019,CL,12/6/2019,Snack & Nonalcoholic Beverage Bars,Milwaukee,Milwaukee
Multi-Color Corporation,Green Bay,39,10/17/2019,CL,12/16/2019,Printing & Writing Paper Merch Whls,Brown,Bay Area
Silgan Containers,Menomonee Falls,22,10/21/2019,WR,11/18/2019,Metal Can Mfg,Waukesha,WOW
Gardner Pet Group,West Bend,36,10/24/2019,CL,1/17/2020,Other Animal Food Mfg,Washington,WOW
"INNIO Waukesha Gas Engines, Inc.",Waukesha,75,10/28/2019,WR,12/31/2019,Other Engine Equip Mfg,Waukesha,WOW
Georgia-Pacific Consumer Operations LLC,Greeny Bay,55,10/29/2019,CL,12/16/2019,Managing Officers,Brown,Bay Area
Richter Foods-Burlington Inc.,Burlington,70,9/3/2019,CL,9/15/2019,Supermarkets & Other Grocery Stores,Racine,Southeast
Nestle USA Inc.,Medford,32,9/6/2019,WR,11/1/2019,Frozen Specialty Food Mfg,Taylor,Northwest
Nestle USA Inc.,Appleton,32,9/6/2019,WR,11/1/2019,General Warehousing & Storage,Outagamie,Bay Area
Nestle USA Inc.,Delavan,31,9/6/2019,CL,11/1/2019,General Warehousing & Storage,Walworth,Southeast
Nestle USA Inc.,Sussex,31,9/6/2019,CL,11/1/2019,Frozen Specialty Food Mfg,Waukesha,WOW
Transform KM LLC,Racine,47,9/9/2019,CL,12/15/2019,Department Stores,Racine,Southeast
Schneider National Carriers Inc.,Green Bay,85,8/2/2019,WR,9/30/2019,General Freight Trucking Long Distance TL,Brown,Bay Area
Forrer Business Interiors,Milwaukee,58,8/2/2019,CL,8/2/2019,Furn Merch Whls,Milwaukee,Milwaukee
Forrer Business Interiors - Revision 1,Milwaukee,58,8/9/2019,LS,8/2/2019,Furn Merch Whls,Milwaukee,Milwaukee
Hi-Crush Services LLC,Whitehall,40,8/12/2019,WR,8/30/2019,Description: Ind. Sand Mining,Trempealeau,Western
C&D Technologies,Milwaukee,158,8/15/2019,CL,10/5/2019,Storage Battery Mfg,Milwaukee,Milwaukee
Transform KM LLC,Waupaca,41,8/23/2019,CL,11/17/2019,Department Stores,Waupaca,Fox Valley
Silgan Containers Manufacturing Corporation,Waupun,70,7/1/2019,CL,11/8/2019,Metal Can Manufacturing,Dodge,South Central
Silgan Containers Manufacturing Corporation - Revision 1,Waupun,70,11/4/2019,LS,11/15/2019,Metal Can Manufacturing,Dodge,South Central
Arvato Digital Services,Pleasant Prairie,95,7/3/2019,WR,9/1/2019,General Warehousing & Storage,Kenosha,Southeast
Tramontina US Cookware,Manitowoc,145,7/9/2019,CL,9/8/2019,Mtl Kichn Cookware Utensil Exc Precious Mfg,Manitowoc,Bay Area
US Bank,Eau Claire,43,7/10/2019,WR,10/1/2019,Commercial Banking,Eau Claire,West Central
"Bonton Department Store [aka Saks 5th Avenue, aka Saks 5th Avenue OFF 5TH]",Wauwatosa,39,7/12/2019,CL,9/30/2019,Department Stores,Milwaukee,Milwaukee
Community Development Institution - Head Start,Milwaukee,74,7/23/2019,CL,8/31/2019,Other Individual & Family Services,Milwaukee,Milwaukee
Flambeau River Papers,Park Falls,65,7/25/2019,WR,Unknown,Paper exc Newsprint Mills,Price,Northwest
Flambeau River Papers - Revision 1,Park Falls,108,9/16/2019,"AW, LS",9/24/2019,Paper exc Newsprint Mills,Price,Northwest
ResCare Workforce Services,Milwaukee,99,7/29/2019,WR,9/30/2019,Vocational rehabilitation services,Milwaukee,Milwaukee
Beauty Systems Group,Marinette,84,6/3/2019,CL,7/29/2019,Service Estab Equip Merch Whls,Marinette,Bay Area
Intel Corporation,Eau Claire,62,6/14/2019,CL,8/15/2019,Computer & Software Merch Whls,Eau Claire,West Central
Lee Enterprises,La Crosse,20,6/17/2019,WR,8/10/2019,Newspaper Publishers,La Crosse,Western
Piggly Wiggly,Kenosha,59,6/24/2019,CL,8/24/2019,Supermarkets & Other Grocery Stores,Kenosha,Southeast
Alliance Industries,Marinette,22,6/25/2019,CL,9/1/2019,Ind Pattern Mfg,Marinette,Bay Area
Mayo Clinic Health System - Franciscan,La Crosse,Unknown,5/8/2019,WR,7/1/2019,Offices of Physicians exc Mental Health,La Crosse,Western
Covia Corporation,Maiden Rock,52,5/9/2019,WR,5/8/2019,Ind Sand Mining,Pierce,West Central
The Journal Times,Racine,39,5/13/2019,WR,7/14/2019,Newspaper Publishers,Racine,Southeast
Merit Gear,Antigo,80,5/20/2019,CL,1/1/2020,Speed Changer Drive & Gear Mfg,Langlade,North Central
BMO Harris,Brown Deer,51,5/30/2019,WR,5/30/2019,Commercial Banking,Milwaukee,Milwaukee
F+W Media Inc.,Stevens Point,66,4/1/2019,CL,5/31/2019,Periodical Publishers,Portage,North Central
Iron Mountain Trap Rock Co.,Bloomer,32,4/1/2019,CL,10/26/2018,Crushed & Broken Limestone Mining,Chippewa,West Central
Shopko,"Manitowoc, Plover",99,4/8/2019,CL,4/14/2019,Department Stores,"Manitowoc, Portage","Bay Area, North Central"
Inmar,Milwaukee,265,4/11/2019,CL,6/15/2019,Pharmaceutical Preparation Mfg,Milwaukee,Milwaukee
Sodexo Services,Oshkosh,87,4/15/2019,CL,7/10/2019,Facilities Support Services,Winnebago,Fox Valley
Silver Star Brands,Oshkosh,62,4/22/2019,WR,6/24/2019,Electronic Shopping and Mail-Order Houses,Winnebago,Fox Valley
Durham School Services,Racine,211,4/23/2019,CL,7/31/2019,School & Employee Bus Trans,Racine,Southeast
Backyard Products,Janesville,23,4/23/2019,CL,8/1/2019,Misc Wood Product Mfg,Rock,Southwest
Saputo Cheese USA,Dresser,49,4/25/2019,CL,5/31/2019,Cheese Mfg,Polk,West Central
"LifeCare Management Services, LLC",Pewaukee,171,4/25/2019,CL,6/23/2019,Managing Offices,Waukesha,WOW
Post Acute Medical Specialty Hospital of Milwaukee,Milwaukee,172,3/7/2019,CL,5/30/2019,Other hospitals,Milwaukee,Milwaukee
Heidel House Resort & Spa,Green Lake,111,3/11/2019,CL,5/20/2019,Hotels & Motels exc. Casino Hotels,Green Lake,Fox Valley
Motor Castings Company,Milwaukee,113,3/20/2019,CL,5/20/2019,Iron Foundries,Milwaukee,Milwaukee
CasTech,West Allis,4,3/20/2019,CL,5/20/2019,Misc Fabricated Metal Product Mfg,Milwaukee,Milwaukee
Radial,Eau Claire,142,3/26/2019,cl,5/28/2019,Telemarketing & Other Contact Centers,Eau Claire,West Central
Dentsply Sirona,Racine,49,3/27/2019,CL,7/1/2019,Whls Trade Agents & Brokers,Racine,Southeast
"D.E.N. Services, Inc.",Clintonville,101,3/27/2019,CL,6/30/2019,Vocational Rehabilitation Services,Waupaca,Fox Valley
SHOPKO,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1715,3/28/2019,CL,6/16/2019,Department Stores,"Adams, Barron, Brown, Chippewa, Clark, Dodge, Door, Eau Claire, Fond du Lac, Grant, Green, Jefferson, La Crosse, Lincoln, Marathon, Oconto, Outagamie, Ozaukee, Price, Rock, Sauk, St. Croix, Trempealeau, Vilas, Washburn, Waukesha, Waupaca, Wausau, Waushara, Winnebago, Wood","Bay Area, Fox Valley, North Central, Northwest, South Central, Southwest, West Central, Western, WOW"
Zalk Josephs Fabricators LLC,Stoughton,Unknown,3/28/2019,WR,5/27/2019,Fabricated Structural Metal Mfg,Dane,South Central
"Spectrum Transportation Services, LLC",De Pere,9,3/28/2019,CL,5/20/2019,General Freight Trucking Long Distance,Brown,Bay Area
Spectrum America Supply Chain Solutions Inc.,De Pere,216,3/28/2019,CL,5/20/2019,General Warehousing & Storage,Brown,Bay Area
US Bank,Brookfield,40,2/5/2019,WR,4/5/2019,Commercial Banking,Waukesha,WOW
Covia Corp.,Tomah,29,2/11/2019,WR,2/7/2019,Ind Sand Mining,Monroe,Western
Armor Correctional Health Service Inc.,Milwaukee,100,2/11/2019,CL,3/31/2019,Facilities Support Services,Milwaukee,Milwaukee
ShopKo,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",578,2/13/2019,CL,5/6/2019,Department Stores,"Brown, Dodge, Jefferson, Rock, Racine, Outagamie, Kenosha, Dane, Marinette, Sheboygan, Walworth, Oneida","Bay Area, South Central, Southwest, Southeast, North Central"
Wellspring of Milwaukee,Milwaukee,160,2/13/2019,CL,4/12/2019,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
Shopko Store Support Center,Green Bay,140,2/18/2019,WR,4/8/2019,Managing Offices,Brown,Bay Area
ABQC Corporation,Milwaukee,35,2/18/2019,CL,3/31/2019,Electroplating Anodizing & Coloring Metal,Milwaukee,Milwaukee
"Figi's Companies, Inc.","Marshfield, Stevens Point, Neillsville",279,1/7/2019,CL,1/4/2019,Electronic Shopping and Mail-Order Houses,"Wood, Portage, Clark","North Central, West Central"
Petco - Drs. Foster & Smith,Rhinelander,289,1/10/2019,CL,3/10/2019,Electronic Shopping and Mail-Order Houses,Oneida,North Central
Kimberly-Clark Corp.,Neenah,74,1/10/2019,CL,3/15/2019,Nonwoven Fabric Mills,Winnebago,Fox Valley
Kimberly-Clark Corp. - Revision 1,Neenah,65,3/22/2019,"LS, AW",3/15/2019,Nonwoven Fabric Mills,Winnebago,Fox Valley
Compass Minerals America Inc.,Kenosha,38,1/14/2019,CL,2/1/2019,Other Chemicals Merch Whls,Kenosha,Southeast
"Becton, Dickinson and Company",Franklin,2,1/18/2019,CL,3/22/2019,Pharmaceutical Preparation Mfg,Milwaukee,Milwaukee
Shopko Stores,Madison,63,1/18/2019,CL,4/12/2019,Department Stores,Madison,South Central
Unison (formerly known as: Interfaith Older Adult Programs Inc.),"Milwaukee, Cudahy, Brown Deer",53,1/18/2019,CL,12/21/2018,Services for the Elderly & Disabled,Milwaukee,Milwaukee
Lacrosse Hardwood Flooring,Westby,65,1/22/2019,CL,3/18/2019,Misc Wood Product Mfg,Vernon,Western
Pepin Health and Rehab,Pepin,54,1/22/2019,CL,3/23/2019,Continuing Care Retirement Communities,Pepin,West Central
