Date,Company,Type,Jobs Affected,City,Location
6/4/2020,Runza,Closure,,Lincoln,Edgewood
6/4/2020,Marriott Corporate,Layoff,,Omaha,Omaha Marriott Downtown
5/14/2020,Royal Engineered Composits,Layoff,,Minden,Minden
5/13/2020,Burlington Northern Santa Fe (BNSF) Railroad,Layoff,12,Lincoln,Lincoln Shop
5/8/2020,Valentino's Corporate Office,Layoff,46,Omaha,Omaha - 108th St
4/2/2020,Intrado Facilities,Layoff,,Omaha,HR Service Center
4/1/2020,"B & R Stores, Inc.",Closure,96,Omaha,Super Saver - Millard
3/31/2020,Golf USA,Closure,,Kearney,Golf USA
3/31/2020,Mr Movies,Closure,1,North Platte,North Platte
3/31/2020,Forno Omaha,Layoff,20,Omaha,Omaha
3/31/2020,Ruby Tuesday,Layoff,27,Kearney,Kearney
3/30/2020,Talent Plus Inc.,Layoff,40,Lincoln,
3/30/2020,Village Inn Corporation,Closure,,Lincoln,Lincoln North
3/29/2020,BurgerFi,Closure,,Lincoln,Lincoln Railyard
3/27/2020,Allmand Brothers,Layoff,20,Holdrege,Holdrege
3/27/2020,"Hayneedle, Inc.",Closure,131,Omaha,West Dodge Road
3/27/2020,"Hayneedle, Inc.",Closure,87,Omaha,Chalco Valley Parkway
3/25/2020,Godfather's Pizza,Closure,9,Beatrice,Beatrice
3/23/2020,General Nutrition Center Stores,Closure,2,Grand Island,Grand Island
3/12/2020,Atrium Hospitality - Embassy Suites,Layoff,,Omaha,Omaha - South 10th Street
3/9/2020,Granite City,Closure,,Omaha,Omaha
3/8/2020,"Packers Sanitation Services, Inc.",Layoff,58,Lincoln,Lincoln - Smithfield
3/2/2020,Old Chicago,Closure,15,Lincoln,Haymarket
3/2/2020,Four Star Card & Gift Gallery,Closure,16,Lincoln,Old Cheney
2/29/2020,Headliner Studio,Closure,2,Kearney,Kearney
2/28/2020,Diamond Vogel Corporation,Closure,2,Elkhorn,Elkhorn
2/28/2020,Diamond Vogel Corporation,Closure,2,Fremont,Fremont
2/28/2020,Diamond Vogel Corporation,Closure,2,Norfolk,Norfolk
2/28/2020,Diamond Vogel Corporation,Closure,5,Grand Island,Grand Island
2/28/2020,Diamond Vogel Corporation,Closure,3,Kearney,Kearney
