Date Received,Company ,City/County,Potential Number Affected,Layoff Date,Phone Number,Union  ,Notice ID  
7/14/2020,"JSW Steel USA Ohio, Inc.  ",Mingo Junction/Jefferson,160,07/17/2020-08/15/2020,(740) 535-8611,None,119-20-161*
7/13/2020,Center of Science and Industry (COSI)  ,Columbus/Franklin,177,4/8/2020,(614) 629-3152,None,119-20-160*
7/13/2020,"Reisenfeld & Associates, LLC  ",Cincinnati/Hamilton,69,03/20/2020-07/02/2020,(513) 322-7000,None,119-20-159*
7/8/2020,"United Airlines, Inc. - Cleveland Hopkins International Airport  ",Cleveland/Cuyahoga,450,10/1/2020,(847) 700-7755,"Air Line Pilots Association, Association of Flight Attendants - CWA, AFL-CIO, International Association of Machinists and Aerospace Workers, AFL-CIO, International Brotherhood of Teamsters, UNITE HERE International Union ",119-20-158*
7/8/2020,"Delaware North Companies, Inc.  ",Various Cities/Various Counties,1805,3/23/2020,(877) 936-2272,Chicago Midwest Regional Joint Board Workers United,119-20-157*
7/7/2020,Franklin Park Conservatory and Botanical Gardens  ,Columbus/Franklin,95,3/16/2020,(614) 719-6640,None,011-20-103
7/6/2020,"Fiserv, Inc.  ",Dublin/Franklin,79,09/04/2020-09/18/2020,(262) 328-7587,None,011-20-102
7/6/2020,Raymond Management Company (Hilton Garden Inn Hotel)  ,Mason/Warren,29,6/30/2020,(608) 662-8332,None,012-20-101
7/6/2020,Raymond Management Company (AC by Marriott Hotel)  ,Liberty Township/Butler,20,6/30/2020,(608) 662-8332,None,012-20-100
7/6/2020,The Salvation Army Family Store  ,Dayton/Greene,8,5/11/2020,(216) 621-7860,None,007-20-099
7/1/2020,Levy Premium Foodservice - The Greater Columbus Convention Center  ,Columbus/Franklin,59,8/1/2020,(312) 877-1134,None,011-20-098
6/30/2020,Levy Premium Foodservice - Huntington Convention Center of Cleveland  ,Cleveland/Cuyahoga,19,8/1/2020,(312) 877-1134,United Here Local #24,003-20-097
6/30/2020,Oberlin College  ,Oberlin/Lorain,57,7/15/2020,(440) 775-5573,"International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America, Local 2912",004-20-096
6/30/2020,"Magna Industries, Inc.  ",Cleveland/Cuyahoga,102,8/31/2020,(216) 251-3334,None,003-20-095
6/30/2020,Copart  ,Columbus/Franklin,72,6/29/2020,(972) 391-5184,None,011-20-094
6/29/2020,"Allpro Parking, Ohio, LLC  ",Columbus/Franklin,23,6/7/2020,(716) 849-7275,None,011-20-093
6/29/2020,"Allpro Parking, Ohio, LLC  ",Cleveland/Cuyahoga,4,6/7/2020,(716) 849-7275,None,003-20-092
6/29/2020,"Sumaria Systems, Inc.  ",Wright-Patterson AFB/Greene,72,8/31/2020,(978) 739-4200,None,007-20-091
6/29/2020,"J-Lenco, Inc.  ",La Rue/Marion,7,7/5/2020,(740) 499-2260,None,119-20-156*
6/25/2020,AFP 116 Corp. - Embassy Suites Columbus Airport  ,Columbus/Franklin,57,5/15/2020,(614) 536-0201,None,119-20-155*
6/25/2020,"Allpro Parking Ohio, LLC  ",Cincinnati/Hamilton,18,6/7/2020,(716) 849-7275,None,013-20-090
6/24/2020,TIMET  ,Toronto/Jefferson,200,04/12/2020-06/26/2020,(740) 537-5885,United Steel Workers,119-20-154*
6/24/2020,Levy Premium Foodservice-The Ohio State University  ,Columbus/Franklin,34,8/1/2020,(614) 219-9836,None,011-20-089
6/24/2020,"ADESA Ohio, LLC - Automotive Finance Corporation (AFC)  ",Northfield/Summit,28,8/1/2020,(317) 843-3167,None,002-20-088
6/24/2020,Cleveland Indians Baseball Company LLC  ,Cleveland/Cuyahoga,85,7/15/2020,(216) 420-4563,SEIU (Local 1),003-20-087
6/23/2020,General Electric Aviation  ,Cincinnati/Hamilton,529,04/17/2020-07/24/2020,(513) 325-9199,"IAM, UAW",119-20-153*
6/22/2020,Hollywood Gaming Mahoning Valley Race Course  ,Youngstown/Mahoning,7,8/15/2020,(330) 505-8722,None,017-20-086
6/22/2020,"Westin Cincinnati (Merritt Hospitality, LLC)  ",Cincinnati/Hamilton,98,5/30/2020,(513) 852-2716,"Chicago and Midwest Regional Joint Board, Workers United",119-20-152*
6/18/2020,Marriott International Customer Engagement Center  ,Solon/Cuyahoga,200,3/24/2020,(440) 542-2389,None,119-20-151*
6/17/2020,"Certech, Inc.  ",Twinsburg/Summit,15,08/24/2020-09/04/2020,(440) 600-4764,None,002-20-085
6/16/2020,Northeast Projections Inc.  ,Valley View/Cuyahoga,13,6/16/2020,(216) 514-5023,None,119-20-150*
6/15/2020,Hollywood Casino Columbus  ,Columbus/Franklin,188,8/15/2020,(614) 308-4489,None,011-20-084
6/15/2020,Hollywood Casino Toledo  ,Toledo/Lucas,116,8/15/2020,(419) 661-5413,None,009-20-083
6/11/2020,"HFI, Inc.  ",Canal Winchester/Franklin,99,8/3/2020,(614) 491-0700,None,011-20-082
6/11/2020,ArcelorMittal Columbus LLC/ArcelorMittal USA LLC  ,Columbus/Franklin,121,8/2/2020,(614) 492-6816,"United Steel Workers Local #9309, Obetz Local #2342-01",011-20-081
6/10/2020,Credit First National Association  ,Akron/Summit,52,8/15/2020,(216) 362-3355,None,002-20-080
6/9/2020,Hyatt Regency Columbus  ,Columbus/Franklin,192,6/20/2020,(614) 280-3033,None,011-20-079
6/8/2020,"Green Bay Dressed Beef, LLC  ",Sharonville/Hamilton,95,8/7/2020,(513) 543-5466,United Food and Commercial Workers Local Union 75,013-20-078
